scenario,seed,lev,strategy,bull_realized,signal_realized,avg_ret_pct,median_ret_pct,neg_coins,avg_sharpe,avg_mdd_pct,total_liqs,avg_trades
bull_40pct,14,5.0,short_only,0.2529,0.22,18.02,15.29,6,0.721,46.15,6,5.2
bull_40pct,15,1.0,hybrid,0.3836,0.3395,339.49,-81.84,10,0.053,76.5,0,13.3
bull_40pct,15,1.0,short_only,0.3836,0.3395,-83.89,-86.0,13,-0.987,87.46,0,9.9
bull_40pct,15,5.0,hybrid,0.3836,0.3395,-100.0,-100.0,13,-2.209,100.0,13,1.8
bull_40pct,15,5.0,short_only,0.3836,0.3395,-100.0,-100.0,13,-2.209,100.0,13,1.8
bull_40pct,16,1.0,hybrid,0.4275,0.3793,365.99,-90.61,11,-0.38,83.28,0,12.5
bull_40pct,16,1.0,short_only,0.4275,0.3793,-87.3,-90.88,13,-1.022,92.15,0,9.2
bull_40pct,16,5.0,hybrid,0.4275,0.3793,-100.0,-100.0,13,-5.115,100.0,13,5.4
bull_40pct,16,5.0,short_only,0.4275,0.3793,-100.0,-100.0,13,-6.826,100.0,13,2.5
bull_40pct,17,1.0,hybrid,0.3376,0.2986,185.75,-74.17,11,-0.166,66.57,0,12.5
bull_40pct,17,1.0,short_only,0.3376,0.2986,-71.48,-76.39,13,-0.838,76.58,0,9.1
bull_40pct,17,5.0,hybrid,0.3376,0.2986,-100.0,-100.0,13,-0.273,100.0,13,7.2
bull_40pct,17,5.0,short_only,0.3376,0.2986,-100.0,-100.0,13,-0.451,100.0,13,4.1
bull_40pct,18,1.0,hybrid,0.5126,0.4854,1352.85,-96.38,9,0.161,80.78,0,16.8
bull_40pct,18,1.0,short_only,0.5126,0.4854,-96.25,-97.14,13,-1.254,97.11,0,10.4
bull_40pct,18,5.0,hybrid,0.5126,0.4854,-100.0,-100.0,13,-1.904,100.0,13,1.8
bull_40pct,18,5.0,short_only,0.5126,0.4854,-100.0,-100.0,13,-2.206,100.0,13,1.7
bull_40pct,19,1.0,hybrid,0.2049,0.1911,448.33,76.54,3,0.808,8.47,0,9.9
bull_40pct,19,1.0,short_only,0.2049,0.1911,62.57,51.14,3,0.484,16.21,0,7.9
bull_40pct,19,5.0,hybrid,0.2049,0.1911,200267.95,-100.0,11,-0.814,83.95,10,6.3
bull_40pct,19,5.0,short_only,0.2049,0.1911,-32.67,-100.0,12,-0.895,85.53,11,3.1
bull_50pct,0,1.0,hybrid,0.5782,0.5457,1245.0,-95.55,11,0.199,84.37,0,16.6
bull_50pct,0,1.0,short_only,0.5782,0.5457,-98.58,-98.68,13,-1.503,98.58,0,10.6
bull_50pct,0,5.0,hybrid,0.5782,0.5457,-100.0,-100.0,13,-3.952,100.0,13,3.7
bull_50pct,0,5.0,short_only,0.5782,0.5457,-100.0,-100.0,13,-7.481,100.0,13,2.2
bull_50pct,1,1.0,hybrid,0.4983,0.4545,1577.93,-88.84,9,0.068,76.14,0,17.6
bull_50pct,1,1.0,short_only,0.4983,0.4545,-95.83,-96.88,13,-1.342,96.11,0,10.4
bull_50pct,1,5.0,hybrid,0.4983,0.4545,83571277.87,-100.0,11,-3.942,94.86,11,16.2
bull_50pct,1,5.0,short_only,0.4983,0.4545,-100.0,-100.0,13,-7.994,100.0,13,2.2
bull_50pct,2,1.0,hybrid,0.4908,0.4303,167.13,-69.18,10,0.209,77.77,0,15.9
bull_50pct,2,1.0,short_only,0.4908,0.4303,-94.78,-95.65,13,-1.152,94.95,0,8.4
bull_50pct,2,5.0,hybrid,0.4908,0.4303,-100.0,-100.0,13,-3.832,100.0,13,1.6
bull_50pct,2,5.0,short_only,0.4908,0.4303,-100.0,-100.0,13,-7.733,100.0,13,1.0
bull_50pct,3,1.0,hybrid,0.4053,0.3726,350.81,-88.22,9,-0.051,78.5,0,14.6
bull_50pct,3,1.0,short_only,0.4053,0.3726,-81.14,-88.75,13,-0.915,88.43,0,8.8
bull_50pct,3,5.0,hybrid,0.4053,0.3726,-100.0,-100.0,13,-2.109,100.0,13,7.9
bull_50pct,3,5.0,short_only,0.4053,0.3726,-100.0,-100.0,13,-2.692,100.0,13,4.4
bull_50pct,4,1.0,hybrid,0.3716,0.3356,318.95,30.69,6,0.515,51.74,0,13.5
bull_50pct,4,1.0,short_only,0.3716,0.3356,-75.69,-81.41,13,-1.05,77.82,0,8.7
bull_50pct,4,5.0,hybrid,0.3716,0.3356,-100.0,-100.0,13,-3.058,100.0,13,4.2
bull_50pct,4,5.0,short_only,0.3716,0.3356,-100.0,-100.0,13,-7.321,100.0,13,1.7
bull_50pct,5,1.0,hybrid,0.5973,0.5619,2020.21,-99.19,10,0.136,85.43,0,16.8
bull_50pct,5,1.0,short_only,0.5973,0.5619,-99.2,-99.22,13,-1.397,99.3,0,12.1
bull_50pct,5,5.0,hybrid,0.5973,0.5619,-100.0,-100.0,13,-0.595,100.0,13,9.5
bull_50pct,5,5.0,short_only,0.5973,0.5619,-100.0,-100.0,13,-1.079,100.0,13,2.2
bull_50pct,6,1.0,hybrid,0.4402,0.4029,85.36,-91.52,11,-0.357,84.04,0,15.1
bull_50pct,6,1.0,short_only,0.4402,0.4029,-92.65,-92.33,13,-1.248,92.73,0,9.3
bull_50pct,6,5.0,hybrid,0.4402,0.4029,-100.0,-100.0,13,-4.829,100.0,13,4.2
bull_50pct,6,5.0,short_only,0.4402,0.4029,-100.0,-100.0,13,-6.345,100.0,13,1.4
bull_50pct,7,1.0,hybrid,0.6405,0.5954,922.03,-99.14,9,0.116,85.38,0,19.1
bull_50pct,7,1.0,short_only,0.6405,0.5954,-99.53,-99.54,13,-1.633,99.53,0,10.9
bull_50pct,7,5.0,hybrid,0.6405,0.5954,-100.0,-100.0,13,-2.194,100.0,13,3.9
bull_50pct,7,5.0,short_only,0.6405,0.5954,-100.0,-100.0,13,-5.27,100.0,13,2.2
bull_50pct,8,1.0,hybrid,0.6016,0.5603,2298.32,-98.87,11,0.062,84.65,0,17.7
bull_50pct,8,1.0,short_only,0.6016,0.5603,-98.85,-99.12,13,-1.324,99.15,0,11.2
bull_50pct,8,5.0,hybrid,0.6016,0.5603,-100.0,-100.0,13,-3.855,100.0,13,10.0
bull_50pct,8,5.0,short_only,0.6016,0.5603,-100.0,-100.0,13,-5.359,100.0,13,3.2
bull_50pct,9,1.0,hybrid,0.6767,0.6275,352.34,-99.63,10,-0.192,92.83,0,15.5
bull_50pct,9,1.0,short_only,0.6767,0.6275,-99.66,-99.67,13,-1.529,99.68,0,11.5
bull_50pct,9,5.0,hybrid,0.6767,0.6275,-100.0,-100.0,13,-6.547,100.0,13,2.4
bull_50pct,9,5.0,short_only,0.6767,0.6275,-100.0,-100.0,13,-6.775,100.0,13,1.7
bull_50pct,10,1.0,hybrid,0.5941,0.5621,2758.38,-98.49,9,0.25,81.75,0,18.2
bull_50pct,10,1.0,short_only,0.5941,0.5621,-98.94,-99.18,13,-1.361,99.05,0,11.8
bull_50pct,10,5.0,hybrid,0.5941,0.5621,-100.0,-100.0,13,-2.143,100.0,13,12.8
bull_50pct,10,5.0,short_only,0.5941,0.5621,-100.0,-100.0,13,-3.142,100.0,13,2.2
bull_50pct,11,1.0,hybrid,0.5104,0.4806,268.03,-97.66,11,-0.479,89.85,0,14.3
bull_50pct,11,1.0,short_only,0.5104,0.4806,-96.81,-97.66,13,-1.129,97.51,0,9.5
bull_50pct,11,5.0,hybrid,0.5104,0.4806,-100.0,-100.0,13,-5.049,100.0,13,2.4
bull_50pct,11,5.0,short_only,0.5104,0.4806,-100.0,-100.0,13,-5.682,100.0,13,1.3
bull_50pct,12,1.0,hybrid,0.3575,0.3337,905.93,-67.96,10,-0.024,64.92,0,12.2
bull_50pct,12,1.0,short_only,0.3575,0.3337,-73.89,-71.7,13,-0.745,80.51,0,9.0
bull_50pct,12,5.0,hybrid,0.3575,0.3337,-100.0,-100.0,13,-1.02,100.0,13,5.4
bull_50pct,12,5.0,short_only,0.3575,0.3337,-100.0,-100.0,13,-1.179,100.0,13,2.5
bull_50pct,13,1.0,hybrid,0.46,0.4242,265.24,-93.52,11,-0.289,83.5,0,14.9
bull_50pct,13,1.0,short_only,0.46,0.4242,-94.64,-94.64,13,-1.311,94.67,0,10.2
bull_50pct,13,5.0,hybrid,0.46,0.4242,-100.0,-100.0,13,-4.316,100.0,13,4.8
bull_50pct,13,5.0,short_only,0.46,0.4242,-100.0,-100.0,13,-6.313,100.0,13,2.2
bull_50pct,14,1.0,hybrid,0.4353,0.4051,697.2,-89.92,10,-0.266,79.37,0,13.1
bull_50pct,14,1.0,short_only,0.4353,0.4051,-90.6,-91.86,13,-1.045,92.27,0,9.5
bull_50pct,14,5.0,hybrid,0.4353,0.4051,-100.0,-100.0,13,-0.96,100.0,13,9.0
bull_50pct,14,5.0,short_only,0.4353,0.4051,-100.0,-100.0,13,-1.267,100.0,13,2.8
bull_50pct,15,1.0,hybrid,0.5831,0.5372,1045.67,-94.13,11,0.195,87.23,0,16.5
bull_50pct,15,1.0,short_only,0.5831,0.5372,-98.8,-98.96,13,-1.37,98.83,0,10.8
bull_50pct,15,5.0,hybrid,0.5831,0.5372,21202105.16,-100.0,12,-3.343,99.14,12,12.2
bull_50pct,15,5.0,short_only,0.5831,0.5372,-100.0,-100.0,13,-7.295,100.0,13,1.5
bull_50pct,16,1.0,hybrid,0.4686,0.4223,1044.89,-75.14,10,0.222,79.7,0,16.8
bull_50pct,16,1.0,short_only,0.4686,0.4223,-94.53,-94.57,13,-1.233,94.61,0,11.8
bull_50pct,16,5.0,hybrid,0.4686,0.4223,-100.0,-100.0,13,-4.008,100.0,13,4.5
bull_50pct,16,5.0,short_only,0.4686,0.4223,-100.0,-100.0,13,-7.721,100.0,13,1.9
bull_50pct,17,1.0,hybrid,0.5801,0.541,269.9,-99.04,11,-0.104,90.4,0,17.2
bull_50pct,17,1.0,short_only,0.5801,0.541,-98.95,-99.26,13,-1.122,99.3,0,9.5
bull_50pct,17,5.0,hybrid,0.5801,0.541,-100.0,-100.0,13,-0.289,100.0,13,12.7
bull_50pct,17,5.0,short_only,0.5801,0.541,-100.0,-100.0,13,-0.612,100.0,13,2.3
bull_50pct,18,1.0,hybrid,0.2507,0.2236,253.84,36.08,4,0.604,15.91,0,10.5
bull_50pct,18,1.0,short_only,0.2507,0.2236,4.89,1.89,6,0.173,22.91,0,7.8
bull_50pct,18,5.0,hybrid,0.2507,0.2236,185734.03,-100.0,10,-4.953,82.01,10,8.2
bull_50pct,18,5.0,short_only,0.2507,0.2236,-89.42,-100.0,12,-6.872,92.31,12,2.8
bull_50pct,19,1.0,hybrid,0.445,0.3962,406.4,-87.17,10,0.094,75.24,0,13.5
bull_50pct,19,1.0,short_only,0.445,0.3962,-92.05,-93.89,13,-1.062,93.54,0,8.9
bull_50pct,19,5.0,hybrid,0.445,0.3962,-100.0,-100.0,13,-3.825,100.0,13,2.1
bull_50pct,19,5.0,short_only,0.445,0.3962,-100.0,-100.0,13,-6.241,100.0,13,1.2
